fichier,reconnu,nb_caracteres,nb_lignes,localisee
WhatsApp Image 2026-07-26 at 21.07.25.jpeg,0084E03,7,1,True
WhatsApp Image 2026-07-26 at 21.07.26.jpeg,0084E031,8,1,True
WhatsApp Image 2026-07-26 at 21.07.27 (1).jpeg,7833GK7,7,1,True
WhatsApp Image 2026-07-26 at 21.07.27 (2).jpeg,7803GK7,7,1,True
WhatsApp Image 2026-07-26 at 21.07.27 (3).jpeg,3803GK7,7,1,True
WhatsApp Image 2026-07-26 at 21.07.27.jpeg,1T02II,6,1,True
WhatsApp Image 2026-07-26 at 21.07.28 (1).jpeg,7?6???1,7,2,True
WhatsApp Image 2026-07-26 at 21.07.28 (2).jpeg,8427E03,7,2,True
WhatsApp Image 2026-07-26 at 21.07.28 (3).jpeg,?8428E03,8,2,True
WhatsApp Image 2026-07-26 at 21.07.28 (4).jpeg,209391,6,1,True
WhatsApp Image 2026-07-26 at 21.07.28.jpeg,E113,4,1,True
WhatsApp Image 2026-07-26 at 21.07.29 (1).jpeg,71311T11,8,2,True
WhatsApp Image 2026-07-26 at 21.07.29 (2).jpeg,99388DE03,9,2,True
WhatsApp Image 2026-07-26 at 21.07.29.jpeg,233337,6,1,True
WhatsApp Image 2026-07-26 at 21.07.30 (1).jpeg,1J2I4,5,2,True
WhatsApp Image 2026-07-26 at 21.07.30 (2).jpeg,E31E31313,9,1,True
WhatsApp Image 2026-07-26 at 21.07.30 (3).jpeg,30141E03,8,2,True
WhatsApp Image 2026-07-26 at 21.07.30 (4).jpeg,T31E01043,9,1,True
WhatsApp Image 2026-07-26 at 21.07.30.jpeg,6111414E1T1411,14,1,True
